rr1,rr_turns,ra1,ra_turns,rd1,rd_turns,ir1,ir_turns,ia1,ia_turns,id1,id_turns,nr1,nr_turns,na1,na_turns,nd1,nd_turns,cr1,cr_turns,ca1,ca_turns,cd1,cd_turns,ur1,ur_turns,ua1,ua_turns,ud1,ud_turns,sr1,sr_turns,sa1,sa_turns,sd1,sd_turns,pr1,pr_turns,pa1,pa_turns,pd1,pd_turns,fr1,fr_turns,fa1,fa_turns,fd1,fd_turns,er1,er_turns,ea1,ea_turns,ed1,ed_turns,mr1,mr_turns,ma1,ma_turns,md1,md_turns
1,95,0,100,0,10,1,45,0,30,0,285,0,80,0,25,0,25,0,135,0,90,0,95,0,35,0,205,0,85,0,65,0,245,0,105,1,220,0,180,0,110,1,285,0,90,0,60,1,75,0,115,0,35,0,180,0,115,0,65
1,160,0,450,0,50,1,205,0,35,1,120,0,10,0,130,0,40,0,50,0,45,0,25,1,65,0,115,0,65,1,45,0,30,0,255,0,160,0,150,0,80,0,60,0,65,1,135,1,85,0,20,0,70,0,155,0,55,0,90
0,90,0,295,0,35,0,125,0,60,0,200,1,415,0,240,0,30,1,200,0,35,0,40,0,70,0,35,0,220,1,135,0,295,1,150,1,110,1,585,0,110,0,40,0,445,0,275,0,25,0,75,0,25,0,25,0,95,0,75
0,35,0,115,0,75,0,70,0,125,0,40,0,65,0,50,0,15,0,45,0,25,0,30,1,165,0,60,1,295,1,160,0,30,1,80,1,65,0,90,0,200,0,75,0,80,1,135,0,30,0,665,0,35,0,35,0,25,0,190
0,1980,0,140,0,20,1,115,0,130,0,65,0,40,0,30,0,105,0,30,0,90,0,55,1,115,0,345,0,35,0,85,0,190,0,170,0,90,0,115,1,140,1,275,0,110,0,60,0,55,0,40,0,105,1,80,0,85,0,95
0,80,0,150,0,25,0,195,0,70,0,35,0,15,0,40,0,30,0,45,0,165,0,55,0,50,0,235,0,105,0,265,0,155,0,135,1,50,0,75,0,110,1,105,0,140,0,95,0,120,0,40,0,25,0,80,0,75,0,35
0,15,0,50,0,35,0,45,0,90,0,170,0,125,0,100,0,130,0,20,0,50,0,50,0,20,0,65,0,45,1,370,0,135,0,155,1,135,0,305,1,145,0,300,0,80,0,50,0,125,0,35,0,40,0,110,0,40,0,125
1,420,0,60,0,90,0,45,0,235,0,40,0,40,1,250,0,25,0,25,0,10,0,20,0,30,0,80,0,90,1,230,0,60,0,110,1,105,1,300,0,100,0,210,0,20,0,25,0,95,0,70,0,35,0,635,0,1305,0,60
0,1720,0,65,0,70,0,145,0,55,1,205,0,95,0,130,0,20,0,40,0,40,1,325,0,35,0,45,1,125,0,65,0,35,0,300,0,140,1,1485,0,70,1,120,0,90,0,45,0,110,0,30,0,165,0,65,0,105,0,55
0,90,0,80,0,45,1,55,0,170,0,125,0,1460,0,20,0,55,0,60,0,315,0,30,0,95,0,135,1,135,1,85,0,100,0,120,0,135,0,270,1,110,1,145,0,150,0,45,0,60,0,125,0,235,0,20,0,60,0,45
